Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,6026,12.0,12,,,,,,
,,,,,6040,14.0,14,,,,,,
,,,,,6070,30.0,30,,,,,,
,,,,,6110,40.0,40,,,,,,
,,,,,6127,17.0,17,,,,,,
,,,,,6164,37.0,37,,,,,,
,,,,,6179,15.0,15,,,,,,
,,,,,6189,10.0,10,,,,,,
,,,,,6210,21.0,21,,,,,,
,,,,,6257,47.0,47,,,,,,
,,,,,6316,59.0,59,,,,,,
,,,,,6350,34.0,34,,,,,,
,,,,,6367,17.0,17,,,,,,
,,,,,6406,39.0,39,,,,,,
,,,,,6430,24.0,24,,,,,,
,,,,,6476,46.0,46,,,,,,
,,,,,6494,18.0,18,,,,,,
,,,,,6535,41.0,41,,,,,,
,,,,,6550,15.0,15,,,,,,
,,,,,6663,113.0,113,,,,,,
,,,,,6683,20.0,20,,,,,,
,,,,,6727,44.0,44,,,,,,
,,,,,6738,11.0,11,,,,,,
,,,,,6805,67.0,67,,,,,,
,,,,,6829,24.0,24,,,,,,
,,,,,6844,15.0,15,,,,,,
,,,,,6869,25.0,25,,,,,,
,,,,,6898,29.0,29,,,,,,
,,,,,6922,24.0,24,,,,,,
,,,,,6966,44.0,44,,,,,,
,,,,,6995,29.0,29,,,,,,
,,,,,7000,,,0.07298314571380615,5.547067642211914,5.617283821105957,1.0795783996582031,0.79,0.0005
,,,,,7042,47.0,47,,,,,,
,,,,,7065,23.0,23,,,,,,
,,,,,7076,11.0,11,,,,,,
,,,,,7097,21.0,21,,,,,,
,,,,,7123,26.0,26,,,,,,
,,,,,7147,24.0,24,,,,,,
,,,,,7160,13.0,13,,,,,,
,,,,,7260,100.0,100,,,,,,
,,,,,7304,44.0,44,,,,,,
,,,,,7326,22.0,22,,,,,,
,,,,,7357,31.0,31,,,,,,
,,,,,7369,12.0,12,,,,,,
,,,,,7391,22.0,22,,,,,,
,,,,,7413,22.0,22,,,,,,
,,,,,7479,66.0,66,,,,,,
182.5,27.594383,237.0,149.0,182.5,7500,,,0.02363605983555317,6.420211315155029,6.43280029296875,0.33872517943382263,0.775,0.0005
,,,,,7507,28.0,28,,,,,,
,,,,,7529,22.0,22,,,,,,
,,,,,7553,24.0,24,,,,,,
,,,,,7585,32.0,32,,,,,,
,,,,,7608,23.0,23,,,,,,
,,,,,7632,24.0,24,,,,,,
,,,,,7688,56.0,56,,,,,,
,,,,,7719,31.0,31,,,,,,
,,,,,7768,49.0,49,,,,,,
,,,,,7786,18.0,18,,,,,,
,,,,,7827,41.0,41,,,,,,
,,,,,7854,27.0,27,,,,,,
,,,,,7883,29.0,29,,,,,,
,,,,,7952,69.0,69,,,,,,
,,,,,7989,37.0,37,,,,,,
,,,,,8000,,,0.02977888286113739,6.3257646560668945,6.317307472229004,0.35785290598869324,0.76,0.0005
,,,,,8012,23.0,23,,,,,,
,,,,,8093,81.0,81,,,,,,
,,,,,8236,143.0,143,,,,,,
,,,,,8331,95.0,95,,,,,,
,,,,,8390,59.0,59,,,,,,
,,,,,8418,28.0,28,,,,,,
,,,,,8449,31.0,31,,,,,,
,,,,,8468,19.0,19,,,,,,
,,,,,8499,31.0,31,,,,,,
,,,,,8510,11.0,11,,,,,,
,,,,,8573,63.0,63,,,,,,
,,,,,8631,58.0,58,,,,,,
,,,,,8647,16.0,16,,,,,,
,,,,,8713,66.0,66,,,,,,
,,,,,8770,57.0,57,,,,,,
,,,,,8838,68.0,68,,,,,,
,,,,,8917,79.0,79,,,,,,
,,,,,8962,45.0,45,,,,,,
,,,,,8980,18.0,18,,,,,,
,,,,,8999,19.0,19,,,,,,
,,,,,9000,,,0.03116888925433159,7.232448101043701,7.270800590515137,0.6087640523910522,0.73,0.0005
,,,,,9018,19.0,19,,,,,,
,,,,,9030,12.0,12,,,,,,
,,,,,9068,38.0,38,,,,,,
,,,,,9140,72.0,72,,,,,,
,,,,,9165,25.0,25,,,,,,
,,,,,9230,65.0,65,,,,,,
,,,,,9278,48.0,48,,,,,,
,,,,,9313,35.0,35,,,,,,
,,,,,9360,47.0,47,,,,,,
,,,,,9402,42.0,42,,,,,,
,,,,,9435,33.0,33,,,,,,
,,,,,9459,24.0,24,,,,,,
,,,,,9517,58.0,58,,,,,,
,,,,,9633,116.0,116,,,,,,
,,,,,9646,13.0,13,,,,,,
,,,,,9691,45.0,45,,,,,,
,,,,,9712,21.0,21,,,,,,
,,,,,9731,19.0,19,,,,,,
,,,,,9763,32.0,32,,,,,,
,,,,,9801,38.0,38,,,,,,
,,,,,9825,24.0,24,,,,,,
,,,,,9857,32.0,32,,,,,,
,,,,,9923,66.0,66,,,,,,
,,,,,9943,20.0,20,,,,,,
,,,,,9988,45.0,45,,,,,,
183.8,88.10085,418.0,117.0,183.8,10000,,,0.151329904794693,8.414766311645508,8.377678871154785,0.9280798435211182,0.7,0.0005
,,,,,10022,34.0,34,,,,,,
,,,,,10066,44.0,44,,,,,,
,,,,,10091,25.0,25,,,,,,
,,,,,10132,41.0,41,,,,,,
,,,,,10172,40.0,40,,,,,,
,,,,,10201,29.0,29,,,,,,
,,,,,10217,16.0,16,,,,,,
,,,,,10231,14.0,14,,,,,,
,,,,,10244,13.0,13,,,,,,
,,,,,10301,57.0,57,,,,,,
,,,,,10322,21.0,21,,,,,,
,,,,,10384,62.0,62,,,,,,
,,,,,10427,43.0,43,,,,,,
,,,,,10533,106.0,106,,,,,,
,,,,,10588,55.0,55,,,,,,
,,,,,10651,63.0,63,,,,,,
,,,,,10698,47.0,47,,,,,,
,,,,,10739,41.0,41,,,,,,
,,,,,10794,55.0,55,,,,,,
,,,,,10818,24.0,24,,,,,,
,,,,,10900,82.0,82,,,,,,
,,,,,10968,68.0,68,,,,,,
,,,,,10983,15.0,15,,,,,,
,,,,,11000,,,0.08864732831716537,9.043977737426758,8.99989128112793,0.7460594773292542,0.67,0.0005
,,,,,11009,26.0,26,,,,,,
,,,,,11045,36.0,36,,,,,,
,,,,,11074,29.0,29,,,,,,
,,,,,11134,60.0,60,,,,,,
,,,,,11163,29.0,29,,,,,,
,,,,,11219,56.0,56,,,,,,
,,,,,11269,50.0,50,,,,,,
,,,,,11322,53.0,53,,,,,,
,,,,,11421,99.0,99,,,,,,
,,,,,11450,29.0,29,,,,,,
,,,,,11510,60.0,60,,,,,,
,,,,,11530,20.0,20,,,,,,
,,,,,11557,27.0,27,,,,,,
,,,,,11591,34.0,34,,,,,,
,,,,,11681,90.0,90,,,,,,
,,,,,11695,14.0,14,,,,,,
,,,,,11713,18.0,18,,,,,,
,,,,,11733,20.0,20,,,,,,
,,,,,11769,36.0,36,,,,,,
,,,,,11834,65.0,65,,,,,,
,,,,,11847,13.0,13,,,,,,
,,,,,11863,16.0,16,,,,,,
,,,,,11886,23.0,23,,,,,,
,,,,,11905,19.0,19,,,,,,
,,,,,11934,29.0,29,,,,,,
