Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,18851,-386.58344,160,,,,,,
,,,,,18936,-43.93343,85,,,,,,
,,,,,19024,-88.473595,88,,,,,,
,,,,,19104,-203.09592,80,,,,,,
,,,,,19221,-116.74145,117,,,,,,
,,,,,19294,-209.7055,73,,,,,,
,,,,,19404,-358.21973,110,,,,,,
,,,,,19537,-149.67584,133,,,,,,
,,,,,19616,-48.905846,79,,,,,,
,,,,,19681,-126.24574,65,,,,,,
,,,,,19778,-122.61057,97,,,,,,
,,,,,19849,-245.50928,71,,,,,,
,,,,,19943,-369.283,94,,,,,,
-307.34668,53.625366,-205.45686,-385.53033,62.7,20000,,,163.78091430664062,-0.05671882629394531,-2.5762996673583984,22.710939407348633,0.88,0.01
,,,,,20025,-73.02611,82,,,,,,
,,,,,20139,-328.115,114,,,,,,
,,,,,20276,-250.3634,137,,,,,,
,,,,,20444,18.438095,168,,,,,,
,,,,,20534,-143.55092,90,,,,,,
,,,,,20661,29.842468,127,,,,,,
,,,,,20735,-139.66121,74,,,,,,
,,,,,20812,-30.250847,77,,,,,,
,,,,,20884,-147.77327,72,,,,,,
,,,,,20987,-133.01785,103,,,,,,
,,,,,21000,,,4.744480609893799,-4.022149085998535,-3.1375510692596436,17.021318435668945,0.874,0.01
,,,,,21058,-82.02608,71,,,,,,
,,,,,21188,-103.398674,130,,,,,,
,,,,,21277,-200.09949,89,,,,,,
,,,,,21391,-120.43975,114,,,,,,
,,,,,21469,-126.32436,78,,,,,,
,,,,,21568,-89.05703,99,,,,,,
,,,,,21646,-78.354454,78,,,,,,
,,,,,21743,-118.4996,97,,,,,,
,,,,,21825,-207.95047,82,,,,,,
,,,,,21935,-152.81569,110,,,,,,
,,,,,22000,,,161.16171264648438,-6.536998271942139,-7.54661226272583,83.57093048095703,0.868,0.01
,,,,,22016,-54.57716,81,,,,,,
,,,,,22141,-0.8232727,125,,,,,,
,,,,,22255,-156.59335,114,,,,,,
,,,,,22357,-109.085625,102,,,,,,
,,,,,22435,-78.05639,78,,,,,,
,,,,,22527,-163.35614,92,,,,,,
,,,,,22659,-240.48453,132,,,,,,
,,,,,22757,-257.751,98,,,,,,
,,,,,22830,-60.691208,73,,,,,,
,,,,,22902,-81.93088,72,,,,,,
,,,,,23000,,,27.47935676574707,-3.5033788681030273,-4.090165138244629,39.73287582397461,0.862,0.01
,,,,,23001,-209.75058,99,,,,,,
,,,,,23106,-116.732155,105,,,,,,
,,,,,23217,-225.71533,111,,,,,,
,,,,,23299,-154.1554,82,,,,,,
,,,,,23370,-140.97931,71,,,,,,
,,,,,23477,-88.449875,107,,,,,,
,,,,,23591,-135.61237,114,,,,,,
,,,,,23673,1.1031494,82,,,,,,
,,,,,23753,-207.53531,80,,,,,,
,,,,,23862,-123.718254,109,,,,,,
,,,,,23949,-79.978165,87,,,,,,
,,,,,24000,,,30.388038635253906,-5.668668270111084,-6.253925323486328,31.2753849029541,0.856,0.01
,,,,,24047,-234.50792,98,,,,,,
,,,,,24143,-123.14008,96,,,,,,
,,,,,24301,-181.01271,158,,,,,,
,,,,,24383,-139.77435,82,,,,,,
,,,,,24463,-184.21857,80,,,,,,
,,,,,24589,-39.83741,126,,,,,,
,,,,,24746,-232.18538,157,,,,,,
,,,,,24855,-110.6729,109,,,,,,
,,,,,24959,-130.15224,104,,,,,,
,,,,,25000,,,51.65089416503906,-3.278332233428955,-4.700613975524902,59.0647087097168,0.85,0.01
,,,,,25099,-320.36548,140,,,,,,
,,,,,25204,-122.551605,105,,,,,,
,,,,,25283,-96.56111,79,,,,,,
,,,,,25369,-146.77142,86,,,,,,
,,,,,25475,-344.43164,106,,,,,,
,,,,,25546,-87.587296,71,,,,,,
,,,,,25632,-114.29617,86,,,,,,
,,,,,25719,-190.39825,87,,,,,,
,,,,,25849,-168.269,130,,,,,,
,,,,,25930,-153.37686,81,,,,,,
,,,,,26000,,,87.47684478759766,-3.277742862701416,-2.206352472305298,69.40541076660156,0.844,0.01
,,,,,26007,-122.75397,77,,,,,,
,,,,,26088,-172.56802,81,,,,,,
,,,,,26154,-63.292343,66,,,,,,
,,,,,26297,-238.20114,143,,,,,,
,,,,,26364,-133.98605,67,,,,,,
,,,,,26497,-109.59132,133,,,,,,
,,,,,26633,-46.50231,136,,,,,,
,,,,,26754,-162.34186,121,,,,,,
,,,,,26858,-54.33927,104,,,,,,
,,,,,27000,,,32.89544677734375,-9.016220092773438,-7.904189109802246,39.52852249145508,0.838,0.01
,,,,,27006,-111.37485,148,,,,,,
,,,,,27093,-101.92536,87,,,,,,
,,,,,27169,-73.78826,76,,,,,,
,,,,,27295,-85.56959,126,,,,,,
,,,,,27408,-254.33902,113,,,,,,
,,,,,27520,-59.985767,112,,,,,,
,,,,,27631,-95.06643,111,,,,,,
,,,,,27738,-151.06754,107,,,,,,
,,,,,27871,-142.37463,133,,,,,,
,,,,,27946,-129.3331,75,,,,,,
,,,,,28000,,,24.051143646240234,-4.845002174377441,-3.786902666091919,38.33975601196289,0.832,0.01
,,,,,28019,-129.82202,73,,,,,,
,,,,,28142,-72.00162,123,,,,,,
,,,,,28238,-125.97897,96,,,,,,
,,,,,28344,-98.46184,106,,,,,,
,,,,,28446,-6.524544,102,,,,,,
,,,,,28560,-273.45752,114,,,,,,
,,,,,28636,-122.07812,76,,,,,,
,,,,,28753,-231.20041,117,,,,,,
,,,,,28906,-218.72238,153,,,,,,
,,,,,29000,,,4.87966251373291,-1.2941758632659912,-2.1013975143432617,20.235048294067383,0.8260000000000001,0.01
,,,,,29007,-50.048756,101,,,,,,
,,,,,29079,-78.64814,72,,,,,,
,,,,,29144,-85.17349,65,,,,,,
,,,,,29206,-181.76604,62,,,,,,
,,,,,29358,-277.78226,152,,,,,,
,,,,,29488,-99.15267,130,,,,,,
,,,,,29552,-180.52148,64,,,,,,
,,,,,29629,-82.544846,77,,,,,,
,,,,,29714,-173.78676,85,,,,,,
,,,,,29813,-113.9079,99,,,,,,
,,,,,29903,-100.90635,90,,,,,,
-99.82307,18.55184,-65.75453,-133.08841,1000.0,30000,,,27.61260223388672,-4.351410865783691,-4.368035793304443,23.9075984954834,0.82,0.01
,,,,,30021,-120.98794,118,,,,,,
,,,,,30094,-104.35436,73,,,,,,
,,,,,30171,-126.76864,77,,,,,,
,,,,,30253,-79.78711,82,,,,,,
,,,,,30353,-87.59142,100,,,,,,
,,,,,30433,-81.81986,80,,,,,,
,,,,,30559,-141.52278,126,,,,,,
,,,,,30636,-50.07222,77,,,,,,
,,,,,30743,-226.54794,107,,,,,,
,,,,,30850,-105.551735,107,,,,,,
,,,,,31000,,,18.1976318359375,-12.516388893127441,-13.464122772216797,34.17673873901367,0.8140000000000001,0.01
,,,,,31004,-180.5834,154,,,,,,
,,,,,32000,,,39.69541549682617,-7.587918281555176,-6.630375862121582,45.97208786010742,0.808,0.01
,,,,,32004,52.791985,1000,,,,,,
