Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,2109,6.0,6,,,,,,,,
,,,,,2117,8.0,8,,,,,,,,
,,,,,2123,6.0,6,,,,,,,,
,,,,,2132,9.0,9,,,,,,,,
,,,,,2141,9.0,9,,,,,,,,
,,,,,2144,3.0,3,,,,,,,,
,,,,,2147,3.0,3,,,,,,,,
,,,,,2156,9.0,9,,,,,,,,
,,,,,2162,6.0,6,,,,,,,,
,,,,,2168,6.0,6,,,,,,,,
,,,,,2185,17.0,17,,,,,,,,
,,,,,2193,8.0,8,,,,,,,,
,,,,,2199,6.0,6,,,,,,,,
,,,,,2205,6.0,6,,,,,,,,
,,,,,2209,4.0,4,,,,,,,,
,,,,,2217,8.0,8,,,,,,,,
,,,,,2224,7.0,7,,,,,,,,
,,,,,2231,7.0,7,,,,,,,,
,,,,,2237,6.0,6,,,,,,,,
,,,,,2241,4.0,4,,,,,,,,
,,,,,2246,5.0,5,,,,,,,,
,,,,,2251,5.0,5,,,,,,,,
,,,,,2262,11.0,11,,,,,,,,
,,,,,2268,6.0,6,,,,,,,,
,,,,,2272,4.0,4,,,,,,,,
,,,,,2276,4.0,4,,,,,,,,
,,,,,2279,3.0,3,,,,,,,,
,,,,,2284,5.0,5,,,,,,,,
,,,,,2290,6.0,6,,,,,,,,
,,,,,2294,4.0,4,,,,,,,,
,,,,,2300,6.0,6,,,,,,,,
,,,,,2308,8.0,8,,,,,,,,
,,,,,2321,13.0,13,,,,,,,,
,,,,,2324,3.0,3,,,,,,,,
,,,,,2337,13.0,13,,,,,,,,
,,,,,2340,3.0,3,,,,,,,,
,,,,,2343,3.0,3,,,,,,,,
,,,,,2346,3.0,3,,,,,,,,
,,,,,2349,3.0,3,,,,,,,,
,,,,,2354,5.0,5,,,,,,,,
,,,,,2357,3.0,3,,,,,,,,
,,,,,2366,9.0,9,,,,,,,,
,,,,,2369,3.0,3,,,,,,,,
,,,,,2382,13.0,13,,,,,,,,
,,,,,2386,4.0,4,,,,,,,,
,,,,,2390,4.0,4,,,,,,,,
,,,,,2393,3.0,3,,,,,,,,
,,,,,2402,9.0,9,,,,,,,,
,,,,,2406,4.0,4,,,,,,,,
,,,,,2413,7.0,7,,,,,,,,
,,,,,2416,3.0,3,,,,,,,,
,,,,,2424,8.0,8,,,,,,,,
,,,,,2430,6.0,6,,,,,,,,
,,,,,2436,6.0,6,,,,,,,,
,,,,,2442,6.0,6,,,,,,,,
,,,,,2446,4.0,4,,,,,,,,
,,,,,2453,7.0,7,,,,,,,,
,,,,,2467,14.0,14,,,,,,,,
,,,,,2473,6.0,6,,,,,,,,
,,,,,2493,20.0,20,,,,,,,,
,,,,,2499,6.0,6,,,,,,,,
,,,,,2505,6.0,6,,,,,,,,
,,,,,2510,5.0,5,,,,,,,,
,,,,,2514,4.0,4,,,,,,,,
,,,,,2519,5.0,5,,,,,,,,
,,,,,2524,5.0,5,,,,,,,,
,,,,,2531,7.0,7,,,,,,,,
,,,,,2540,9.0,9,,,,,,,,
,,,,,2552,12.0,12,,,,,,,,
,,,,,2555,3.0,3,,,,,,,,
,,,,,2576,21.0,21,,,,,,,,
,,,,,2583,7.0,7,,,,,,,,
,,,,,2587,4.0,4,,,,,,,,
,,,,,2591,4.0,4,,,,,,,,
,,,,,2595,4.0,4,,,,,,,,
,,,,,2607,12.0,12,,,,,,,,
,,,,,2619,12.0,12,,,,,,,,
,,,,,2623,4.0,4,,,,,,,,
,,,,,2626,3.0,3,,,,,,,,
,,,,,2629,3.0,3,,,,,,,,
,,,,,2632,3.0,3,,,,,,,,
,,,,,2636,4.0,4,,,,,,,,
,,,,,2647,11.0,11,,,,,,,,
,,,,,2650,3.0,3,,,,,,,,
,,,,,2653,3.0,3,,,,,,,,
,,,,,2662,9.0,9,,,,,,,,
,,,,,2668,6.0,6,,,,,,,,
,,,,,2672,4.0,4,,,,,,,,
,,,,,2683,11.0,11,,,,,,,,
,,,,,2690,7.0,7,,,,,,,,
,,,,,2693,3.0,3,,,,,,,,
,,,,,2702,9.0,9,,,,,,,,
,,,,,2708,6.0,6,,,,,,,,
,,,,,2713,5.0,5,,,,,,,,
,,,,,2720,7.0,7,,,,,,,,
,,,,,2732,12.0,12,,,,,,,,
,,,,,2737,5.0,5,,,,,,,,
,,,,,2750,13.0,13,,,,,,,,
,,,,,2768,18.0,18,,,,,,,,
,,,,,2775,7.0,7,,,,,,,,
,,,,,2780,5.0,5,,,,,,,,
,,,,,2789,9.0,9,,,,,,,,
,,,,,2794,5.0,5,,,,,,,,
,,,,,2799,5.0,5,,,,,,,,
,,,,,2805,6.0,6,,,,,,,,
,,,,,2817,12.0,12,,,,,,,,
,,,,,2823,6.0,6,,,,,,,,
,,,,,2835,12.0,12,,,,,,,,
,,,,,2838,3.0,3,,,,,,,,
,,,,,2843,5.0,5,,,,,,,,
,,,,,2850,7.0,7,,,,,,,,
,,,,,2856,6.0,6,,,,,,,,
,,,,,2862,6.0,6,,,,,,,,
,,,,,2867,5.0,5,,,,,,,,
,,,,,2870,3.0,3,,,,,,,,
,,,,,2875,5.0,5,,,,,,,,
,,,,,2881,6.0,6,,,,,,,,
,,,,,2895,14.0,14,,,,,,,,
,,,,,2899,4.0,4,,,,,,,,
,,,,,2906,7.0,7,,,,,,,,
,,,,,2910,4.0,4,,,,,,,,
,,,,,2914,4.0,4,,,,,,,,
,,,,,2921,7.0,7,,,,,,,,
,,,,,2933,12.0,12,,,,,,,,
,,,,,2948,15.0,15,,,,,,,,
,,,,,2952,4.0,4,,,,,,,,
,,,,,2966,14.0,14,,,,,,,,
,,,,,2972,6.0,6,,,,,,,,
,,,,,2979,7.0,7,,,,,,,,
,,,,,2982,3.0,3,,,,,,,,
,,,,,2987,5.0,5,,,,,,,,
,,,,,2994,7.0,7,,,,,,,,
,,,,,3009,15.0,15,,,,,,,,
,,,,,3014,5.0,5,,,,,,,,
,,,,,3024,10.0,10,,,,,,,,
,,,,,3032,8.0,8,,,,,,,,
,,,,,3036,4.0,4,,,,,,,,
,,,,,3040,4.0,4,,,,,,,,
,,,,,3049,9.0,9,,,,,,,,
,,,,,3052,3.0,3,,,,,,,,
,,,,,3058,6.0,6,,,,,,,,
,,,,,3063,5.0,5,,,,,,,,
,,,,,3072,9.0,9,,,,,,,,
,,,,,3083,11.0,11,,,,,,,,
,,,,,3095,12.0,12,,,,,,,,
,,,,,3117,22.0,22,,,,,,,,
,,,,,3123,6.0,6,,,,,,,,
,,,,,3130,7.0,7,,,,,,,,
,,,,,3134,4.0,4,,,,,,,,
,,,,,3138,4.0,4,,,,,,,,
,,,,,3144,6.0,6,,,,,,,,
,,,,,3147,3.0,3,,,,,,,,
,,,,,3154,7.0,7,,,,,,,,
,,,,,3162,8.0,8,,,,,,,,
,,,,,3165,3.0,3,,,,,,,,
,,,,,3171,6.0,6,,,,,,,,
,,,,,3177,6.0,6,,,,,,,,
,,,,,3182,5.0,5,,,,,,,,
,,,,,3186,4.0,4,,,,,,,,
,,,,,3192,6.0,6,,,,,,,,
,,,,,3210,18.0,18,,,,,,,,
,,,,,3214,4.0,4,,,,,,,,
,,,,,3218,4.0,4,,,,,,,,
,,,,,3225,7.0,7,,,,,,,,
